Rank;Team;Total Points;Previous Points;+/-;Positions;Avg.;AVG WGT;Avg.;AVG WGT;Avg.;AVG WGT;Avg.;AVG WGT
1;BRABrazil;1715(1715.02);1672;0;;1038.91;1038.91;555.56;277.78;793.26;237.98;801.78;160.36
2;ARGArgentina;1626(1626.23);1603;0;;877.12;877.12;741.10;370.55;919.87;275.96;512.98;102.60
3;GERGermany;1511(1511.44);1464;0;;857.80;857.80;412.01;206.00;1153.12;345.94;508.50;101.70
4;CHIChile;1422(1422.14);1411;0;;756.47;756.47;793.85;396.92;489.13;146.74;610.01;122.00
5;COLColombia;1366(1365.63);1348;0;;705.66;705.66;597.24;298.62;821.59;246.48;574.37;114.87
6;FRAFrance;1332(1332.16);1294;0;;855.30;855.30;351.26;175.63;704.66;211.40;449.18;89.84
7;BELBelgium;1292(1291.57);1281;0;;597.83;597.83;587.90;293.95;961.05;288.32;557.40;111.48
8;PORPortugal;1267(1266.76);1259;0;;671.59;671.59;564.84;282.42;617.62;185.29;637.29;127.46
9;SUISwitzerland;1263(1263.29);1212;0;;788.68;788.68;355.32;177.66;563.16;168.95;640.01;128.00
10;ESPSpain;1198(1198.19);1204;0;;597.37;597.37;669.64;334.82;443.99;133.20;664.00;132.80
10;POLPoland;1198(1197.7);1183;1;;764.51;764.51;450.51;225.25;554.05;166.21;208.62;41.72
12;ITAItaly;1193(1193.23);1165;0;;708.03;708.03;417.65;208.82;550.06;165.02;556.81;111.36
13;WALWales;1119(1119.36);1119;0;;683.10;683.10;404.91;202.46;572.55;171.77;310.21;62.04
13;ENGEngland;1119(1119.17);1103;1;;591.57;591.57;544.52;272.26;520.33;156.10;496.25;99.25
15;PERPeru;1108(1108.36);1044;2;;809.83;809.83;369.85;184.93;203.83;61.15;262.31;52.46
16;URUUruguay;1099(1098.77);1097;-1;;487.69;487.69;582.68;291.34;618.27;185.48;671.34;134.27
17;MEXMexico;1050(1049.98);1076;-1;;583.06;583.06;492.90;246.45;449.51;134.85;428.06;85.61
18;CROCroatia;1033(1033.11);1016;0;;637.83;637.83;356.79;178.39;536.15;160.84;280.24;56.05
19;CRCCosta Rica;913(912.74);902;1;;477.40;477.40;306.98;153.49;629.32;188.80;465.28;93.06
20;EGYEgypt;903(902.98);910;-1;;568.68;568.68;323.98;161.99;234.47;70.34;509.84;101.97
21;SVKSlovakia;883(882.98);846;3;;428.49;428.49;339.80;169.90;737.30;221.19;317.00;63.40
22;ISLIceland;877(876.96);872;-1;;506.60;506.60;339.98;169.99;465.47;139.64;303.64;60.73
23;USAUSA;861(861.29);847;0;;453.11;453.11;373.96;186.98;306.40;91.92;646.42;129.28
24;ECUEcuador;858(858.06);839;1;;403.45;403.45;578.57;289.29;371.72;111.52;269.01;53.80
25;TURTurkey;855(855);863;-3;;386.42;386.42;619.75;309.87;243.05;72.91;428.96;85.79
26;IRLRepublic of Ireland;854(853.67);823;0;;487.91;487.91;469.67;234.83;337.84;101.35;147.85;29.57
27;SENSenegal;839(838.99);805;3;;479.05;479.05;269.36;134.68;584.93;175.48;248.88;49.78
28;NIRNorthern Ireland;837(837.49);823;-2;;389.48;389.48;507.98;253.99;497.95;149.39;223.19;44.64
29;BIHBosnia and Herzegovina;835(835.35);815;0;;422.21;422.21;474.51;237.25;350.96;105.29;352.99;70.60
30;IRNIran;829(828.66);820;-2;;470.21;470.21;321.98;160.99;398.22;119.47;389.96;77.99
31;NEDNetherlands;820(819.56);792;1;;324.97;324.97;259.08;129.54;957.91;287.37;388.38;77.68
32;CMRCameroon;811(811.05);779;1;;533.02;533.02;222.80;111.40;349.59;104.88;308.81;61.76
33;HUNHungary;802(801.61);801;-2;;369.81;369.81;555.96;277.98;359.66;107.90;229.60;45.92
34;SWESweden;793(792.81);768;0;;439.70;439.70;356.76;178.38;372.19;111.66;315.40;63.08
35;AUTAustria;750(750.24);762;1;;208.44;208.44;559.35;279.68;599.33;179.80;411.65;82.33
36;PARParaguay;748(747.57);738;2;;435.33;435.33;462.27;231.13;105.12;31.54;247.83;49.57
37;UKRUkraine;737(737.33);761;0;;292.30;292.30;473.45;236.72;317.23;95.17;565.69;113.14
38;NGANigeria;730(729.7);726;2;;474.22;474.22;198.21;99.11;337.50;101.25;275.67;55.13
39;CODCongo DR;728(728.3);712;2;;437.06;437.06;291.01;145.50;382.36;114.71;155.11;31.02
40;GREGreece;726(726.13);730;-1;;393.81;393.81;222.85;111.42;371.19;111.36;547.70;109.54
41;TUNTunisia;705(705.05);701;1;;388.94;388.94;221.51;110.76;493.39;148.02;286.67;57.33
41;BFABurkina Faso;705(704.62);765;-6;;480.22;480.22;199.40;99.70;255.57;76.67;240.14;48.03
43;KORKorea Republic;703(703.14);700;0;;404.98;404.98;316.17;158.08;329.82;98.95;205.65;41.13
44;CZECzech Republic;690(689.72);679;2;;274.23;274.23;357.67;178.83;593.07;177.92;293.66;58.73
45;JPNJapan;689(689.37);685;-1;;407.86;407.86;266.44;133.22;344.24;103.27;225.10;45.02
46;ROURomania;686(686.06);676;1;;231.56;231.56;309.72;154.86;731.75;219.53;400.56;80.11
47;CIVCote d'Ivoire;685(684.76);672;1;;330.55;330.55;286.02;143.01;508.22;152.47;293.64;58.73
48;AUSAustralia;681(681.26);661;2;;393.55;393.55;314.50;157.25;281.35;84.41;230.24;46.05
49;GHAGhana;678(678.35);682;-4;;323.72;323.72;329.65;164.82;463.15;138.94;254.31;50.86
50;SRBSerbia;666(665.7);671;-1;;380.69;380.69;312.80;156.40;156.42;46.93;408.40;81.68
51;DENDenmark;660(660.02);657;0;;313.01;313.01;312.44;156.22;401.06;120.32;352.36;70.47
52;MNEMontenegro;647(647.17);560;10;;489.06;489.06;107.02;53.51;254.43;76.33;141.37;28.27
53;ALGAlgeria;636(636.04);628;1;;233.69;233.69;302.92;151.46;506.31;151.89;494.98;99.00
53;KSASaudi Arabia;636(635.74);646;-1;;360.20;360.20;380.91;190.45;135.09;40.53;222.79;44.56
55;ISRIsrael;635(634.56);557;8;;381.65;381.65;120.57;60.28;503.42;151.02;208.04;41.61
56;MARMorocco;631(631.29);633;-3;;358.04;358.04;380.18;190.09;146.08;43.82;196.66;39.33
56;SVNSlovenia;631(630.69);614;-1;;327.78;327.78;224.33;112.17;278.03;83.41;536.69;107.34
58;VENVenezuela;630(629.85);595;0;;420.58;420.58;206.81;103.40;139.94;41.98;319.43;63.89
59;PANPanama;626(626.08);607;-2;;351.09;351.09;271.42;135.71;213.70;64.11;375.86;75.17
60;BULBulgaria;615(615.23);614;-5;;378.68;378.68;233.89;116.94;307.40;92.22;136.95;27.39
61;SCOScotland;603(603.05);589;-2;;243.91;243.91;251.79;125.89;414.73;124.42;544.15;108.83
62;UZBUzbekistan;582(582.19);586;-2;;315.56;315.56;311.74;155.87;203.71;61.11;248.23;49.65
63;RUSRussia;561(560.85);561;-2;;168.88;168.88;419.66;209.83;367.40;110.22;359.61;71.92
64;HAIHaiti;554(554.49);537;1;;325.13;325.13;264.31;132.16;204.55;61.36;179.24;35.85
65;RSASouth Africa;547(547.42);539;-1;;286.27;286.27;265.08;132.54;290.93;87.28;206.65;41.33
66;MLIMali;544(544.26);504;3;;295.80;295.80;259.47;129.74;322.00;96.60;110.63;22.13
66;ALBAlbania;544(544.04);533;0;;232.07;232.07;247.58;123.79;529.59;158.88;146.50;29.30
68;ARMArmenia;527(527.13);527;-1;;355.84;355.84;125.94;62.97;58.69;17.61;453.61;90.72
69;HONHonduras;517(517.31);524;-1;;331.40;331.40;146.38;73.19;90.84;27.25;427.33;85.47
70;CUWCuraçao;492(491.93);492;0;;388.54;388.54;119.00;59.50;128.71;38.61;26.40;5.28
71;UGAUganda;478(478.46);463;1;;236.19;236.19;227.08;113.54;303.86;91.16;187.82;37.56
72;GUIGuinea;476(475.54);474;-1;;175.95;175.95;228.79;114.40;398.48;119.54;328.25;65.65
73;BOLBolivia;473(472.93);460;0;;288.64;288.64;222.28;111.14;106.60;31.98;205.86;41.17
74;KENKenya;463(463.1);428;4;;331.45;331.45;160.44;80.22;67.41;20.22;156.06;31.21
75;UAEUnited Arab Emirates;450(449.58);453;0;;193.45;193.45;256.74;128.37;255.66;76.70;255.30;51.06
76;AZEAzerbaijan;439(438.99);386;11;;309.78;309.78;111.87;55.94;77.92;23.38;249.52;49.90
77;TRITrinidad and Tobago;436(435.94);439;-1;;151.73;151.73;306.96;153.48;284.28;85.28;227.24;45.45
77;SYRSyria;436(435.86);426;3;;265.35;265.35;222.08;111.04;141.10;42.33;85.69;17.14
79;JAMJamaica;435(435.49);458;-5;;133.88;133.88;370.58;185.29;320.00;96.00;101.61;20.32
80;FROFaroe Islands;431(431.21);431;-3;;225.23;225.23;241.31;120.66;270.27;81.08;21.25;4.25
81;BENBenin;427(427.08);396;2;;200.46;200.46;294.77;147.38;100.73;30.22;245.10;49.02
82;CHNChina PR;425(424.9);425;-1;;207.53;207.53;234.48;117.24;245.50;73.65;132.40;26.48
83;BLRBelarus;419(418.6);428;-5;;191.07;191.07;265.17;132.59;221.07;66.32;143.14;28.63
84;CPVCape Verde Islands;418(417.54);418;-2;;99.63;99.63;241.19;120.59;407.97;122.39;374.62;74.92
85;CGOCongo;412(412.35);392;-1;;132.81;132.81;230.23;115.12;447.28;134.18;151.16;30.23
86;GABGabon;409(408.88);392;-2;;202.87;202.87;112.83;56.41;380.65;114.20;177.05;35.41
